material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1248301,AlSnO3,Hexagonal,P6_3cm,185,30,355.833944835804,5.42324950858617,5.42160168191102,-190.47970412,-6.34932347066667,Al,Sn,O,0.429956209458337,,,
mp-1340379,AlSnO3,Monoclinic,P2_1/c,14,20,255.899703940603,5.02742868072243,5.02742868072243,-130.88435652,-6.544217826,Al,Sn,O,0.235436242125004,,,
mp-1426094,AlSnO3,Cubic,Pm-3m,221,5,65.7711151149831,4.89013113404812,4.89013113404812,-27.30519452,-5.461038904,Al,Sn,O,1.318630856125,,,
mp-768539,AlTlO3,Orthorhombic,Pnma,62,20,214.282801917419,8.65945815918834,8.65945853900118,-119.36130067,-5.9680650335,Al,Tl,O,0.0889291161363639,,,
mp-765647,AlVO3,Monoclinic,Cm,8,40,430.764942728713,3.88327118145536,4.01397910208228,-323.23251724,-8.080812931,Al,V,O,0.0887325961250003,,,
mp-1395974,AlVO3,Cubic,Pm-3m,221,5,55.8736573885355,3.74232054572579,3.74232054572579,-32.67224353,-6.534448706,Al,V,O,1.228573627625,,,
mp-1248251,AlVO3,Orthorhombic,Pnma,62,20,200.081439172424,4.18024054354719,4.1898472774668,-152.0969393,-7.604846965,Al,V,O,0.151617486125,,,
mp-1178549,AlVO3,Trigonal,R-3,148,20,186.112775262673,4.49398781389074,4.29109098840547,-77.30060184,-7.730060184,Al,V,O,0.0198158706250009,,,
mp-802021,AlVO3,Triclinic,P1,1,40,430.764722837819,3.88327316373461,3.88327310152887,-227.18599056,-5.679649764,Al,V,O,2.083372569625,,,
mp-1183128,AlVO3,Cubic,Pm-3m,221,5,48.2482223317943,4.33377906800455,4.33377992712299,-35.22829334,-7.045658668,Al,V,O,0.709336499625001,,,
mp-1384488,AlVO3,Hexagonal,P6_3/mmc,194,10,105.44571488894,3.96596744078582,3.96596744078582,-72.44701302,-7.244701302,Al,V,O,0.327603013625001,,,
