material_id,formula_pretty,icsd,crystal_system,symbol,number,point_group,nsites,nelements,volume,density,energy_per_atom,formation_energy_per_atom
mp-1179354,TiFeO3,,Triclinic,P-1,2.0,-1,10.0,3.0,161.9896577618400,3.110330836948590,-8.896343262,-2.655227389916670
mp-20073,TiFeO3,['icsd-246514'],Orthorhombic,Pnma,62.0,mmm,20.0,3.0,208.77156595728900,4.826724611592710,-8.899765688000000,-2.658649815916670
mp-694948,TiFeO3,,Triclinic,P1,1.0,1,80.0,3.0,868.1009408044890,4.643159836564420,-8.690924784750000,-2.4498089126666700
mp-780260,TiGeO3,,Trigonal,R-3,148.0,-3,10.0,3.0,142.2873660627810,3.9330191466442300,-8.155536432,-2.6838192309166700
mp-1105715,TiGeS3,['icsd-263128'],Orthorhombic,Pnma,62.0,mmm,20.0,3.0,434.35899785867600,3.313776287212380,-6.167187987,-1.181614092541670
mp-556925,TiMnO3,"['icsd-158732', 'icsd-184651']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,212.50152766807800,4.713654201746590,-9.274892319,-2.895377630502870
mp-743867,TiMnO3,,Triclinic,P-1,2.0,-1,10.0,3.0,113.56933258435700,4.409899644458130,-9.134469726,-2.7549550375028700
mp-697089,TiMnO3,,Triclinic,P-1,2.0,-1,10.0,3.0,98.9266567412891,5.06263302412878,-8.471604507000000,-2.092089818502870
mp-2234285,TiMnO3,,Monoclinic,C2/m,12.0,2/m,10.0,3.0,113.83843812847200,4.399474971888600,-9.135411479,-2.7558967905028700
mp-19376,TiMnO3,"['icsd-184650', 'icsd-65359', 'icsd-190911']",Trigonal,R3c,161.0,3m,10.0,3.0,106.62481101239500,4.697118378262630,-9.2985630085,-2.9190483200028700
mp-19082,TiMnO3,"['icsd-44407', 'icsd-184649', 'icsd-247553', 'icsd-171579', 'icsd-60006']",Trigonal,R-3,148.0,-3,10.0,3.0,107.83263051258700,4.644506556173100,-9.334882121,-2.955367432502870
mp-1246065,TiMoN3,,Triclinic,P-1,2.0,-1,20.0,3.0,272.76706553673900,4.525079427397710,-9.618662941,-0.8685375606666670
mp-1216784,TiMoS3,,Monoclinic,P2_1/m,11.0,2/m,10.0,3.0,170.29664917043500,4.680452598492150,-7.598895304,-1.3687969585416700
mp-675030,TiNiO3,,Triclinic,P1,1.0,1,40.0,3.0,414.1901770745120,4.957154613212030,-8.2803009785,-2.5771620124166700
mp-531689,TiNiO3,,Triclinic,P1,1.0,1,60.0,3.0,624.0954126779500,4.934833773785960,-8.284679899833330,-2.58154093375
mp-690546,TiNiO3,,Triclinic,P1,1.0,1,30.0,3.0,300.53728897985800,5.123835266835120,-8.282212310666670,-2.5790733445833300
