material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP,s_A,s_B,s_X
mp-998552,BaHfO3,Ba,Hf,O,Pm-3m,0.0,-43.59170847,5,8.12815498437526,1.61,0.83,1.42
mp-1383356,BaHfS3,Ba,Hf,S,Pm-3m,0.0282627044999995,-33.33693258,5,5.43517025567147,1.61,0.83,1.84
mp-998419,BaHfS3,Ba,Hf,S,Pnma,0.0075062109999999,-133.75900527,20,5.51465467543567,1.61,0.83,1.84
mp-998361,BaHfS3,Ba,Hf,S,Cmmm,1.5709275585,-25.62360831,5,5.7668494901011,1.61,0.83,1.84
mp-998352,BaHfS3,Ba,Hf,S,R3m,0.0283550605,-33.34253198,5,5.43661614953174,1.61,0.83,1.84
mp-1105549,BaHfS3,Ba,Hf,S,Pnma,0.0,-133.83179565,20,5.49833713646944,1.61,0.83,1.84
mp-1183288,BaInO3,Ba,In,O,Pm-3m,0.0772048647500005,-28.27067923,5,6.33116116273878,1.61,0.92,1.42
mp-1227991,BaInO3,Ba,In,O,Amm2,0.0976628067500007,-56.26928041,10,6.28586478510514,1.61,0.92,1.42
mp-5660,BaIrO3,Ba,Ir,O,Pm-3m,0.143234261625,-32.84561338,5,9.27231693995367,1.61,0.625,1.42
mp-542897,BaIrO3,Ba,Ir,O,C2/m,0.0162561192916666,-201.240153,30,8.54299401930828,1.61,0.625,1.42
mp-4307,BaIrO3,Ba,Ir,O,C2/c,0.0471774166249999,-200.33914233,30,8.82601566118885,1.61,0.625,1.42
mp-10250,BaLiF3,Ba,Li,F,Pm-3m,0.0219032200000013,-26.89029715,5,5.0209781647193,1.61,0.92,1.33
mp-23818,BaLiH3,Ba,Li,H,Pm-3m,0.0,-16.52409857,5,3.76835858969577,1.61,0.92,2.08
mp-632808,BaLiH3,Ba,Li,H,Pm-3m,0.620587922,-13.41940708,5,1.88142660265269,1.61,0.92,2.08
mp-1183284,BaLiO3,Ba,Li,O,Pm-3m,0.308695115000001,-24.87840865,5,4.67736530052116,1.61,0.92,1.42
mp-1016852,BaMnO3,Ba,Mn,O,Pm-3m,0.126113079,-33.89834013,5,6.14512787876326,1.61,0.53,1.42
mp-19156,BaMnO3,Ba,Mn,O,P6_3/mmc,0.0001483234999994,-68.93839801,10,5.51135550561921,1.61,0.53,1.42
