Name,A_site,B_site,X_site
KTmBr3,K,Tm,Br
KTmI3,K,Tm,I
KTmO3,K,Tm,O
KUO3,K,U,O
KVCl3,K,V,Cl
KVF3,K,V,F
KVO3,K,V,O
KWO3,K,W,O
KYbBr3,K,Yb,Br
KYbI3,K,Yb,I
KYbO3,K,Yb,O
KYO3,K,Y,O
KZnF3,K,Zn,F
KZnO3,K,Zn,O
KZrO3,K,Zr,O
LaAgO3,La,Ag,O
LaAlO3,La,Al,O
LaAsO3,La,As,O
LaAuO3,La,Au,O
LaBeO3,La,Be,O
LaBiO3,La,Bi,O
LaBO3,La,B,O
LaCdO3,La,Cd,O
LaCoN3,La,Co,N
LaCoO3,La,Co,O
LaCrN3,La,Cr,N
LaCrO3,La,Cr,O
LaCrS3,La,Cr,S
LaCrSe3,La,Cr,Se
LaCuO3,La,Cu,O
LaDyO3,La,Dy,O
LaErO3,La,Er,O
LaErS3,La,Er,S
LaFeO3,La,Fe,O
LaGaO3,La,Ga,O
LaGaS3,La,Ga,S
LaHoO3,La,Ho,O
LaHoS3,La,Ho,S
LaInO3,La,In,O
LaIO3,La,I,O
LaLuO3,La,Lu,O
LaLuS3,La,Lu,S
LaMgO3,La,Mg,O
LaMgS3,La,Mg,S
LaMgSe3,La,Mg,Se
LaMnN3,La,Mn,N
LaMnO3,La,Mn,O
LaMoN3,La,Mo,N
LaNiO3,La,Ni,O
LaOsN3,La,Os,N
LaPdO3,La,Pd,O
