Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
ScPdO3,Sc,Pd,O,3.0,0.87,,,1.42,-2
SiPdO3,Si,Pd,O,4.0,0.4,,,1.42,-2
SrPdO3,Sr,Pd,O,2.0,1.44,,,1.42,-2
ThPdO3,Th,Pd,O,4.0,1.21,,,1.42,-2
UPdO3,U,Pd,O,,,,,1.42,-2
YbPdO3,Yb,Pd,O,,,,,1.42,-2
AcScO3,Ac,Sc,O,3.0,1.12,3.0,0.87,1.42,-2
BaScO3,Ba,Sc,O,2.0,1.61,3.0,0.87,1.42,-2
CaScO3,Ca,Sc,O,2.0,1.34,3.0,0.87,1.42,-2
CeScO3,Ce,Sc,O,,,3.0,0.87,1.42,-2
DyScO3,Dy,Sc,O,,,3.0,0.87,1.42,-2
ErScO3,Er,Sc,O,3.0,1.062,3.0,0.87,1.42,-2
EuScO3,Eu,Sc,O,,,3.0,0.87,1.42,-2
GdScO3,Gd,Sc,O,3.0,1.107,3.0,0.87,1.42,-2
HoScO3,Ho,Sc,O,3.0,1.12,3.0,0.87,1.42,-2
KScO3,K,Sc,O,1.0,1.64,3.0,0.87,1.42,-2
LaScO3,La,Sc,O,3.0,1.36,3.0,0.87,1.42,-2
LuScO3,Lu,Sc,O,3.0,1.032,3.0,0.87,1.42,-2
NdScO3,Nd,Sc,O,,,3.0,0.87,1.42,-2
PrScO3,Pr,Sc,O,,,3.0,0.87,1.42,-2
SmScO3,Sm,Sc,O,,,3.0,0.87,1.42,-2
SrScO3,Sr,Sc,O,2.0,1.44,3.0,0.87,1.42,-2
TbScO3,Tb,Sc,O,,,3.0,0.87,1.42,-2
TmScO3,Tm,Sc,O,,,3.0,0.87,1.42,-2
YScO3,Y,Sc,O,3.0,1.075,3.0,0.87,1.42,-2
YbScO3,Yb,Sc,O,,,3.0,0.87,1.42,-2
AcSiO3,Ac,Si,O,3.0,1.12,4.0,0.4,1.42,-2
AlSiO3,Al,Si,O,3.0,0.535,4.0,0.4,1.42,-2
BaSiO3,Ba,Si,O,2.0,1.61,4.0,0.4,1.42,-2
BeSiO3,Be,Si,O,2.0,0.45,4.0,0.4,1.42,-2
CaSiO3,Ca,Si,O,2.0,1.34,4.0,0.4,1.42,-2
CdSiO3,Cd,Si,O,2.0,1.31,4.0,0.4,1.42,-2
CoSiO3,Co,Si,O,,,4.0,0.4,1.42,-2
CuSiO3,Cu,Si,O,,,4.0,0.4,1.42,-2
EuSiO3,Eu,Si,O,,,4.0,0.4,1.42,-2
FeSiO3,Fe,Si,O,,,4.0,0.4,1.42,-2
GaSiO3,Ga,Si,O,3.0,0.62,4.0,0.4,1.42,-2
GdSiO3,Gd,Si,O,3.0,1.107,4.0,0.4,1.42,-2
HoSiO3,Ho,Si,O,3.0,1.12,4.0,0.4,1.42,-2
InSiO3,In,Si,O,3.0,0.92,4.0,0.4,1.42,-2
KSiO3,K,Si,O,1.0,1.64,4.0,0.4,1.42,-2
LiSiO3,Li,Si,O,1.0,0.92,4.0,0.4,1.42,-2
LuSiO3,Lu,Si,O,3.0,1.032,4.0,0.4,1.42,-2
MgSiO3,Mg,Si,O,2.0,0.89,4.0,0.4,1.42,-2
MnSiO3,Mn,Si,O,,,4.0,0.4,1.42,-2
NaSiO3,Na,Si,O,1.0,1.39,4.0,0.4,1.42,-2
NpSiO3,Np,Si,O,,,4.0,0.4,1.42,-2
PaSiO3,Pa,Si,O,,,4.0,0.4,1.42,-2
ScSiO3,Sc,Si,O,3.0,0.87,4.0,0.4,1.42,-2
SmSiO3,Sm,Si,O,,,4.0,0.4,1.42,-2
SrSiO3,Sr,Si,O,2.0,1.44,4.0,0.4,1.42,-2
TbSiO3,Tb,Si,O,,,4.0,0.4,1.42,-2
ThSiO3,Th,Si,O,4.0,1.21,4.0,0.4,1.42,-2
TlSiO3,Tl,Si,O,,,4.0,0.4,1.42,-2
USiO3,U,Si,O,,,4.0,0.4,1.42,-2
VSiO3,V,Si,O,,,4.0,0.4,1.42,-2
YSiO3,Y,Si,O,3.0,1.075,4.0,0.4,1.42,-2
YbSiO3,Yb,Si,O,,,4.0,0.4,1.42,-2
ZnSiO3,Zn,Si,O,2.0,0.9,4.0,0.4,1.42,-2
ZrSiO3,Zr,Si,O,4.0,0.89,4.0,0.4,1.42,-2
AcTiO3,Ac,Ti,O,3.0,1.12,,,1.42,-2
BaTiO3,Ba,Ti,O,2.0,1.61,,,1.42,-2
CaTiO3,Ca,Ti,O,2.0,1.34,,,1.42,-2
CeTiO3,Ce,Ti,O,,,,,1.42,-2
CsTiO3,Cs,Ti,O,1.0,1.88,,,1.42,-2
DyTiO3,Dy,Ti,O,,,,,1.42,-2
ErTiO3,Er,Ti,O,3.0,1.062,,,1.42,-2
EuTiO3,Eu,Ti,O,,,,,1.42,-2
GdTiO3,Gd,Ti,O,3.0,1.107,,,1.42,-2
HoTiO3,Ho,Ti,O,3.0,1.12,,,1.42,-2
KTiO3,K,Ti,O,1.0,1.64,,,1.42,-2
LaTiO3,La,Ti,O,3.0,1.36,,,1.42,-2
LuTiO3,Lu,Ti,O,3.0,1.032,,,1.42,-2
MgTiO3,Mg,Ti,O,2.0,0.89,,,1.42,-2
NaTiO3,Na,Ti,O,1.0,1.39,,,1.42,-2
NdTiO3,Nd,Ti,O,,,,,1.42,-2
NpTiO3,Np,Ti,O,,,,,1.42,-2
PmTiO3,Pm,Ti,O,3.0,1.144,,,1.42,-2
PrTiO3,Pr,Ti,O,,,,,1.42,-2
PuTiO3,Pu,Ti,O,,,,,1.42,-2
ScTiO3,Sc,Ti,O,3.0,0.87,,,1.42,-2
SmTiO3,Sm,Ti,O,,,,,1.42,-2
SrTiO3,Sr,Ti,O,2.0,1.44,,,1.42,-2
TbTiO3,Tb,Ti,O,,,,,1.42,-2
TmTiO3,Tm,Ti,O,,,,,1.42,-2
UTiO3,U,Ti,O,,,,,1.42,-2
YTiO3,Y,Ti,O,3.0,1.075,,,1.42,-2
YbTiO3,Yb,Ti,O,,,,,1.42,-2
ZrTiO3,Zr,Ti,O,4.0,0.89,,,1.42,-2
AcVO3,Ac,V,O,3.0,1.12,,,1.42,-2
AlVO3,Al,V,O,3.0,0.535,,,1.42,-2
BaVO3,Ba,V,O,2.0,1.61,,,1.42,-2
BeVO3,Be,V,O,2.0,0.45,,,1.42,-2
CaVO3,Ca,V,O,2.0,1.34,,,1.42,-2
CeVO3,Ce,V,O,,,,,1.42,-2
CsVO3,Cs,V,O,1.0,1.88,,,1.42,-2
DyVO3,Dy,V,O,,,,,1.42,-2
ErVO3,Er,V,O,3.0,1.062,,,1.42,-2
EuVO3,Eu,V,O,,,,,1.42,-2
GdVO3,Gd,V,O,3.0,1.107,,,1.42,-2
HoVO3,Ho,V,O,3.0,1.12,,,1.42,-2
KVO3,K,V,O,1.0,1.64,,,1.42,-2
LaVO3,La,V,O,3.0,1.36,,,1.42,-2
LiVO3,Li,V,O,1.0,0.92,,,1.42,-2
LuVO3,Lu,V,O,3.0,1.032,,,1.42,-2
MgVO3,Mg,V,O,2.0,0.89,,,1.42,-2
MnVO3,Mn,V,O,,,,,1.42,-2
NaVO3,Na,V,O,1.0,1.39,,,1.42,-2
NdVO3,Nd,V,O,,,,,1.42,-2
PrVO3,Pr,V,O,,,,,1.42,-2
PuVO3,Pu,V,O,,,,,1.42,-2
RbVO3,Rb,V,O,1.0,1.72,,,1.42,-2
